timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1597166865121,3,service guestbook,200,,sendComment 1-1,text,true,,986,319,1,1,http://localhost:8080/service/guestbook,2,0,0
1597166865124,3,comment dropping,200,,sendComment 1-1,text,true,,274,607,1,1,http://localhost:8080/service/guestbook,3,0,0
1597166865128,1,service\guestbook,200,,sendComment 1-1,text,true,,1057,319,1,1,http://localhost:8080/service/guestbook,1,0,0
1597166865130,0,Debug Sampler,200,OK,sendComment 1-1,text,true,,371,0,1,1,null,0,0,0
1597166865633,1,Samper for timer,200,OK,sendComment 1-1,text,true,,385,0,1,1,null,0,0,0
1597166865636,11,home-page,200,,sendComment 1-1,text,true,,22628,413,1,1,http://localhost:8080/index.html,11,0,1
1597166865648,13,clients,200,,sendComment 1-1,text,true,,6135,411,1,1,http://localhost:8080/clients.html,13,0,0
1597166865662,6,comment book,200,,sendComment 1-1,text,true,,4112,415,1,1,http://localhost:8080/guestbook.html,6,0,0
1597166865671,4,service guestbook,200,,sendComment 1-1,text,true,,1057,319,1,1,http://localhost:8080/service/guestbook,4,0,0
1597166865675,4,comment dropping,200,,sendComment 1-1,text,true,,274,693,1,1,http://localhost:8080/service/guestbook,4,0,0
1597166865680,4,service\guestbook,200,,sendComment 1-1,text,true,,1156,319,1,1,http://localhost:8080/service/guestbook,4,0,0
1597166865685,0,Debug Sampler,200,OK,sendComment 1-1,text,true,,386,0,1,1,null,0,0,0
1597166866187,0,Samper for timer,200,OK,sendComment 1-1,text,true,,366,0,1,1,null,0,0,0
1597166866189,10,home-page,200,,sendComment 1-1,text,true,,22628,413,1,1,http://localhost:8080/index.html,8,0,1
1597166866199,7,clients,200,,sendComment 1-1,text,true,,6135,411,1,1,http://localhost:8080/clients.html,7,0,0
1597166866208,7,comment book,200,,sendComment 1-1,text,true,,4112,415,1,1,http://localhost:8080/guestbook.html,7,0,0
1597166866218,2,service guestbook,200,,sendComment 1-1,text,true,,1156,319,1,1,http://localhost:8080/service/guestbook,2,0,0
1597166866221,3,comment dropping,200,,sendComment 1-1,text,true,,274,521,1,1,http://localhost:8080/service/guestbook,3,0,0
1597166866225,2,service\guestbook,200,,sendComment 1-1,text,true,,1196,319,1,1,http://localhost:8080/service/guestbook,2,0,0
1597166866228,0,Debug Sampler,200,OK,sendComment 1-1,text,true,,345,0,1,1,null,0,0,0
1597166866729,1,Samper for timer,200,OK,sendComment 1-1,text,true,,378,0,1,1,null,0,0,0
1597166866731,8,home-page,200,,sendComment 1-1,text,true,,22628,413,1,1,http://localhost:8080/index.html,8,0,1
1597166866740,7,clients,200,,sendComment 1-1,text,true,,6135,411,1,1,http://localhost:8080/clients.html,7,0,0
1597166866748,7,comment book,200,,sendComment 1-1,text,true,,4112,415,1,1,http://localhost:8080/guestbook.html,7,0,0
1597166866756,4,service guestbook,200,,sendComment 1-1,text,true,,1196,319,1,1,http://localhost:8080/service/guestbook,4,0,0
1597166866761,4,comment dropping,200,,sendComment 1-1,text,true,,274,714,1,1,http://localhost:8080/service/guestbook,4,0,0
1597166866766,4,service\guestbook,200,,sendComment 1-1,text,true,,1305,319,1,1,http://localhost:8080/service/guestbook,4,0,0
1597166866771,0,Debug Sampler,200,OK,sendComment 1-1,text,true,,387,0,1,1,null,0,0,0
1597166867272,0,Samper for timer,200,OK,sendComment 1-1,text,true,,364,0,1,1,null,0,0,0
1597166867273,6,home-page,200,,sendComment 1-1,text,true,,22628,413,1,1,http://localhost:8080/index.html,6,0,1
1597166867280,6,clients,200,,sendComment 1-1,text,true,,6135,411,1,1,http://localhost:8080/clients.html,6,0,0
1597166867287,7,comment book,200,,sendComment 1-1,text,true,,4112,415,1,1,http://localhost:8080/guestbook.html,7,0,0
1597166867294,2,service guestbook,200,,sendComment 1-1,text,true,,1305,319,1,1,http://localhost:8080/service/guestbook,2,0,0
1597166867297,3,comment dropping,200,,sendComment 1-1,text,true,,274,618,1,1,http://localhost:8080/service/guestbook,3,0,0
1597166867300,3,service\guestbook,200,,sendComment 1-1,text,true,,1379,319,1,1,http://localhost:8080/service/guestbook,3,0,0
1597166867304,0,Debug Sampler,200,OK,sendComment 1-1,text,true,,373,0,1,1,null,0,0,0
1597166867805,0,Samper for timer,200,OK,sendComment 1-1,text,true,,387,0,1,1,null,0,0,0
1597166867806,8,home-page,200,,sendComment 1-1,text,true,,22628,413,1,1,http://localhost:8080/index.html,8,0,1
1597166867815,6,clients,200,,sendComment 1-1,text,true,,6135,411,1,1,http://localhost:8080/clients.html,6,0,0
1597166867824,6,comment book,200,,sendComment 1-1,text,true,,4112,415,1,1,http://localhost:8080/guestbook.html,5,0,0
1597166867830,3,service guestbook,200,,sendComment 1-1,text,true,,1379,319,1,1,http://localhost:8080/service/guestbook,3,0,0
1597166867833,3,comment dropping,200,,sendComment 1-1,text,true,,274,633,1,1,http://localhost:8080/service/guestbook,3,0,0
1597166867836,3,service\guestbook,200,,sendComment 1-1,text,true,,1458,319,1,1,http://localhost:8080/service/guestbook,3,0,0
1597166867840,0,Debug Sampler,200,OK,sendComment 1-1,text,true,,366,0,1,1,null,0,0,0
1597166868343,0,Samper for timer,200,OK,sendComment 1-1,text,true,,346,0,1,1,null,0,0,0
1597166868345,10,home-page,200,,sendComment 1-1,text,true,,22628,413,1,1,http://localhost:8080/index.html,10,0,1
1597166868356,8,clients,200,,sendComment 1-1,text,true,,6135,411,1,1,http://localhost:8080/clients.html,8,0,0
1597166868366,4,comment book,200,,sendComment 1-1,text,true,,4112,415,1,1,http://localhost:8080/guestbook.html,4,0,0
1597166868371,5,service guestbook,200,,sendComment 1-1,text,true,,1458,319,1,1,http://localhost:8080/service/guestbook,4,0,0
1597166868376,7,comment dropping,200,,sendComment 1-1,text,true,,274,634,1,1,http://localhost:8080/service/guestbook,7,0,0
1597166868384,8,service\guestbook,200,,sendComment 1-1,text,true,,1538,319,1,1,http://localhost:8080/service/guestbook,8,0,0
1597166868393,0,Debug Sampler,200,OK,sendComment 1-1,text,true,,389,0,1,1,null,0,0,0
1597166868895,0,Samper for timer,200,OK,sendComment 1-1,text,true,,422,0,1,1,null,0,0,0
1597166868897,9,home-page,200,,sendComment 1-1,text,true,,22628,413,1,1,http://localhost:8080/index.html,9,0,2
1597166868907,8,clients,200,,sendComment 1-1,text,true,,6135,411,1,1,http://localhost:8080/clients.html,8,0,0
1597166868916,7,comment book,200,,sendComment 1-1,text,true,,4112,415,1,1,http://localhost:8080/guestbook.html,7,0,0
1597166868924,4,service guestbook,200,,sendComment 1-1,text,true,,1538,319,1,1,http://localhost:8080/service/guestbook,4,0,0
1597166868929,3,comment dropping,200,,sendComment 1-1,text,true,,274,744,1,1,http://localhost:8080/service/guestbook,3,0,0
1597166868933,3,service\guestbook,200,,sendComment 1-1,text,true,,1656,319,1,1,http://localhost:8080/service/guestbook,3,0,0
1597166868937,0,Debug Sampler,200,OK,sendComment 1-1,text,true,,397,0,1,1,null,0,0,0
1597166869439,0,Samper for timer,200,OK,sendComment 1-1,text,true,,374,0,1,1,null,0,0,0
1597166869440,5,home-page,200,,sendComment 1-1,text,true,,22628,413,1,1,http://localhost:8080/index.html,5,0,1
1597166869446,4,clients,200,,sendComment 1-1,text,true,,6135,411,1,1,http://localhost:8080/clients.html,4,0,0
1597166869451,5,comment book,200,,sendComment 1-1,text,true,,4112,415,1,1,http://localhost:8080/guestbook.html,4,0,0
1597166869456,2,service guestbook,200,,sendComment 1-1,text,true,,1656,319,1,1,http://localhost:8080/service/guestbook,2,0,0
1597166869459,3,comment dropping,200,,sendComment 1-1,text,true,,274,575,1,1,http://localhost:8080/service/guestbook,3,0,0
1597166869463,2,service\guestbook,200,,sendComment 1-1,text,true,,1715,319,1,1,http://localhost:8080/service/guestbook,2,0,0
1597166869466,0,Debug Sampler,200,OK,sendComment 1-1,text,true,,357,0,1,1,null,0,0,0
1597166869967,0,Samper for timer,200,OK,sendComment 1-1,text,true,,371,0,1,1,null,0,0,0
1597166869968,8,home-page,200,,sendComment 1-1,text,true,,22628,413,1,1,http://localhost:8080/index.html,8,0,2
1597166869977,9,clients,200,,sendComment 1-1,text,true,,6135,411,1,1,http://localhost:8080/clients.html,8,0,0
1597166869987,14,comment book,200,,sendComment 1-1,text,true,,4112,415,1,1,http://localhost:8080/guestbook.html,14,0,0
1597166870002,7,service guestbook,200,,sendComment 1-1,text,true,,1715,319,1,1,http://localhost:8080/service/guestbook,7,0,0
1597166870011,9,comment dropping,200,,sendComment 1-1,text,true,,274,633,1,1,http://localhost:8080/service/guestbook,9,0,0
1597166870021,5,service\guestbook,200,,sendComment 1-1,text,true,,1794,319,1,1,http://localhost:8080/service/guestbook,5,0,0
1597166870027,0,Debug Sampler,200,OK,sendComment 1-1,text,true,,366,0,1,1,null,0,0,0
1597166870028,0,Samper for timer,200,OK,sendComment 1-1,text,true,,346,0,1,1,null,0,0,0
1597166870030,7,home-page,200,,sendComment 1-1,text,true,,22628,413,1,1,http://localhost:8080/index.html,6,0,1
1597166870037,9,clients,200,,sendComment 1-1,text,true,,6135,411,1,1,http://localhost:8080/clients.html,9,0,0
1597166870047,13,comment book,200,,sendComment 1-1,text,true,,4112,415,1,1,http://localhost:8080/guestbook.html,13,0,0
1597166870061,2,service guestbook,200,,sendComment 1-1,text,true,,1794,319,1,1,http://localhost:8080/service/guestbook,2,0,0
1597166870064,4,comment dropping,200,,sendComment 1-1,text,true,,274,533,1,1,http://localhost:8080/service/guestbook,3,0,0
1597166870068,7,service\guestbook,200,,sendComment 1-1,text,true,,1838,319,1,1,http://localhost:8080/service/guestbook,7,0,0
1597166870076,0,Debug Sampler,200,OK,sendComment 1-1,text,true,,349,0,1,1,null,0,0,0
1597166870578,0,Samper for timer,200,OK,sendComment 1-1,text,true,,382,0,1,1,null,0,0,0
1597166870579,8,home-page,200,,sendComment 1-1,text,true,,22628,413,1,1,http://localhost:8080/index.html,8,0,2
1597166870588,10,clients,200,,sendComment 1-1,text,true,,6135,411,1,1,http://localhost:8080/clients.html,10,0,0
1597166870600,7,comment book,200,,sendComment 1-1,text,true,,4112,415,1,1,http://localhost:8080/guestbook.html,7,0,0
1597166870608,4,service guestbook,200,,sendComment 1-1,text,true,,1838,319,1,1,http://localhost:8080/service/guestbook,3,0,0
1597166870612,4,comment dropping,200,,sendComment 1-1,text,true,,274,725,1,1,http://localhost:8080/service/guestbook,3,0,0
1597166870616,3,service\guestbook,200,,sendComment 1-1,text,true,,1949,319,1,1,http://localhost:8080/service/guestbook,3,0,0
1597166870619,0,Debug Sampler,200,OK,sendComment 1-1,text,true,,389,0,1,1,null,0,0,0
1597166871121,0,Samper for timer,200,OK,sendComment 1-1,text,true,,366,0,1,1,null,0,0,0
1597166871122,8,home-page,200,,sendComment 1-1,text,true,,22628,413,1,1,http://localhost:8080/index.html,8,0,2
1597166871131,7,clients,200,,sendComment 1-1,text,true,,6135,411,1,1,http://localhost:8080/clients.html,7,0,0
1597166871139,9,comment book,200,,sendComment 1-1,text,true,,4112,415,1,1,http://localhost:8080/guestbook.html,9,0,0
1597166871149,4,service guestbook,200,,sendComment 1-1,text,true,,1949,319,1,1,http://localhost:8080/service/guestbook,4,0,0
1597166871154,4,comment dropping,200,,sendComment 1-1,text,true,,274,623,1,1,http://localhost:8080/service/guestbook,4,0,0
1597166871158,2,service\guestbook,200,,sendComment 1-1,text,true,,2024,319,1,1,http://localhost:8080/service/guestbook,2,0,0
1597166871161,0,Debug Sampler,200,OK,sendComment 1-1,text,true,,373,0,1,1,null,0,0,0
1597166871662,0,Samper for timer,200,OK,sendComment 1-1,text,true,,387,0,1,1,null,0,0,0
1597166871664,8,home-page,200,,sendComment 1-1,text,true,,22628,413,1,1,http://localhost:8080/index.html,8,0,1
1597166871673,7,clients,200,,sendComment 1-1,text,true,,6135,411,1,1,http://localhost:8080/clients.html,7,0,0
1597166871682,7,comment book,200,,sendComment 1-1,text,true,,4112,415,1,1,http://localhost:8080/guestbook.html,7,0,0
1597166871690,4,service guestbook,200,,sendComment 1-1,text,true,,2024,319,1,1,http://localhost:8080/service/guestbook,4,0,0
1597166871695,3,comment dropping,200,,sendComment 1-1,text,true,,274,646,1,1,http://localhost:8080/service/guestbook,3,0,0
1597166871699,2,service\guestbook,200,,sendComment 1-1,text,true,,2108,319,1,1,http://localhost:8080/service/guestbook,2,0,0
1597166871702,0,Debug Sampler,200,OK,sendComment 1-1,text,true,,372,0,1,1,null,0,0,0
1597166872205,0,Samper for timer,200,OK,sendComment 1-1,text,true,,352,0,1,1,null,0,0,0
1597166872205,5,home-page,200,,sendComment 1-1,text,true,,22628,413,1,1,http://localhost:8080/index.html,5,0,1
1597166872211,4,clients,200,,sendComment 1-1,text,true,,6135,411,1,1,http://localhost:8080/clients.html,4,0,0
1597166872216,5,comment book,200,,sendComment 1-1,text,true,,4112,415,1,1,http://localhost:8080/guestbook.html,5,0,0
1597166872222,2,service guestbook,200,,sendComment 1-1,text,true,,2108,319,1,1,http://localhost:8080/service/guestbook,2,0,0
1597166872228,2,comment dropping,200,,sendComment 1-1,text,true,,274,582,1,1,http://localhost:8080/service/guestbook,2,0,0
1597166872231,2,service\guestbook,200,,sendComment 1-1,text,true,,2168,319,1,1,http://localhost:8080/service/guestbook,2,0,0
1597166872234,0,Debug Sampler,200,OK,sendComment 1-1,text,true,,365,0,1,1,null,0,0,0
1597166872735,0,Samper for timer,200,OK,sendComment 1-1,text,true,,398,0,1,1,null,0,0,0
1597166872736,10,home-page,200,,sendComment 1-1,text,true,,22628,413,1,1,http://localhost:8080/index.html,10,0,2
